2026-01-29 13:44:41,258 INFO    MainThread:1804148 [wandb_setup.py:_flush():81] Current SDK version is 0.24.0
2026-01-29 13:44:41,259 INFO    MainThread:1804148 [wandb_setup.py:_flush():81] Configure stats pid to 1804148
2026-01-29 13:44:41,259 INFO    MainThread:1804148 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-01-29 13:44:41,259 INFO    MainThread:1804148 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/ubuntu/Documents/Nikita/lesion-classifier-MLO/wandb/run-20260129_134441-2qlmonmw/logs/debug.log
2026-01-29 13:44:41,259 INFO    MainThread:1804148 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/ubuntu/Documents/Nikita/lesion-classifier-MLO/wandb/run-20260129_134441-2qlmonmw/logs/debug-internal.log
2026-01-29 13:44:41,259 INFO    MainThread:1804148 [wandb_init.py:init():844] calling init triggers
2026-01-29 13:44:41,259 INFO    MainThread:1804148 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'train_csv': '/home/ubuntu/Documents/Nikita/ISIC_2019_dataset/Train_set/train.csv', 'val_csv': '/home/ubuntu/Documents/Nikita/ISIC_2019_dataset/Train_set/val.csv', 'test_csv': '/home/ubuntu/Documents/Nikita/ISIC_2019_dataset/Train_set/test.csv', 'img_dir': '/home/ubuntu/Documents/Nikita/ISIC_2019_dataset/Train_set/images', 'unet_checkpoint': '/home/ubuntu/Documents/Nikita/GenSeg/unet/unet.pkl', 'input_size': 224, 'patch_size': 16, 'mask_ratio': 0.75, 'norm_pix_loss': True, 'epochs': 50, 'batch_size': 32, 'num_workers': 8, 'lr_mae': 0.00015, 'lr_cls': 0.0005, 'lr_mask': 5e-05, 'weight_decay': 0.05, 'unroll_steps_mae': 2, 'unroll_steps_cls': 1, 'unroll_steps_mask': 1, 'valid_step': 100, 'baseline': False, 'output_dir': './checkpoints/SKIN-LESION-MLO', 'device': 'cuda', 'seed': 42, 'wandb_project': 'mlo-mae-skin', 'wandb_name': 'mlo-training', 'wandb_mode': 'online', '_wandb': {}}
2026-01-29 13:44:41,259 INFO    MainThread:1804148 [wandb_init.py:init():892] starting backend
2026-01-29 13:44:41,479 INFO    MainThread:1804148 [wandb_init.py:init():895] sending inform_init request
2026-01-29 13:44:41,492 INFO    MainThread:1804148 [wandb_init.py:init():903] backend started and connected
2026-01-29 13:44:41,493 INFO    MainThread:1804148 [wandb_init.py:init():973] updated telemetry
2026-01-29 13:44:41,505 INFO    MainThread:1804148 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-01-29 13:44:42,369 INFO    MainThread:1804148 [wandb_init.py:init():1044] starting run threads in backend
2026-01-29 13:44:42,398 INFO    MainThread:1804148 [wandb_run.py:_console_start():2529] atexit reg
2026-01-29 13:44:42,398 INFO    MainThread:1804148 [wandb_run.py:_redirect():2377] redirect: wrap_raw
2026-01-29 13:44:42,398 INFO    MainThread:1804148 [wandb_run.py:_redirect():2446] Wrapping output streams.
2026-01-29 13:44:42,398 INFO    MainThread:1804148 [wandb_run.py:_redirect():2469] Redirects installed.
2026-01-29 13:44:42,399 INFO    MainThread:1804148 [wandb_init.py:init():1084] run started, returning control to user process
2026-01-29 13:44:45,361 INFO    wandb-AsyncioManager-main:1804148 [service_client.py:_forward_responses():80] Reached EOF.
2026-01-29 13:44:45,361 INFO    wandb-AsyncioManager-main:1804148 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
